abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,classfication,japanese_name,name,pokedex_number,base_total,hp,attack,defense,special_attack,special_defense,speed,type1,type2
"['Poison Point', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Dragon Pokémon,Seadraシードラ,Seadra,117,440,55,65,95,95,45,85,water,
"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Goldfish Pokémon,Tosakintoトサキント,Goldeen,118,320,45,67,60,35,50,63,water,
"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Goldfish Pokémon,Azumaoアズマオウ,Seaking,119,450,80,92,65,65,80,68,water,
"['Illuminate', 'Natural Cure', 'Analytic']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Starshape Pokémon,Hitodemanヒトデマン,Staryu,120,340,30,45,55,70,55,85,water,
"['Illuminate', 'Natural Cure', 'Analytic']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,Mysterious Pokémon,Starmieスターミー,Starmie,121,520,60,75,85,100,85,115,water,psychic
"['Soundproof', 'Filter', 'Technician']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,Barrier Pokémon,Barrierdバリヤード,Mr. Mime,122,460,40,45,65,100,120,90,psychic,fairy
"['Swarm', 'Technician', 'Steadfast']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,Mantis Pokémon,Strikeストライク,Scyther,123,500,70,110,80,55,80,105,bug,flying
"['Oblivious', 'Forewarn', 'Dry Skin']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,Humanshape Pokémon,Rougelaルージュラ,Jynx,124,455,65,50,35,115,95,95,ice,psychic
"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Electric Pokémon,Elebooエレブー,Electabuzz,125,490,65,83,57,95,85,105,electric,
"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Spitfire Pokémon,Booberブーバー,Magmar,126,495,65,95,57,100,85,93,fire,
"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,Stagbeetle Pokémon,Kailiosカイロス,Pinsir,127,600,65,155,120,65,90,105,bug,
"['Intimidate', 'Anger Point', 'Sheer Force']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Wild Bull Pokémon,Kentaurosケンタロス,Tauros,128,490,75,100,95,40,70,110,normal,
"['Swift Swim', 'Rattled']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Fish Pokémon,Koikingコイキング,Magikarp,129,200,20,10,55,15,20,80,water,
"['Intimidate', 'Moxie']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,Atrocious Pokémon,Gyaradosギャラドス,Gyarados,130,640,95,155,109,70,130,81,water,flying
"['Water Absorb', 'Shell Armor', 'Hydration']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,Transport Pokémon,Laplaceラプラス,Lapras,131,535,130,85,80,85,95,60,water,ice
"['Limber', 'Imposter']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Transform Pokémon,Metamonメタモン,Ditto,132,288,48,48,48,48,48,48,normal,
"['Run Away', 'Adaptability', 'Anticipation']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Evolution Pokémon,Eievuiイーブイ,Eevee,133,325,55,55,50,45,65,55,normal,
"['Water Absorb', 'Hydration']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Bubble Jet Pokémon,Showersシャワーズ,Vaporeon,134,525,130,65,60,110,95,65,water,
"['Volt Absorb', 'Quick Feet']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Lightning Pokémon,Thundersサンダース,Jolteon,135,525,65,65,60,110,95,130,electric,
"['Flash Fire', 'Guts']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Flame Pokémon,Boosterブースター,Flareon,136,525,65,130,60,95,110,65,fire,
"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Virtual Pokémon,Porygonポリゴン,Porygon,137,395,65,60,70,85,75,40,normal,
"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,Spiral Pokémon,Omniteオムナイト,Omanyte,138,355,35,40,100,90,55,35,rock,water
"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,Spiral Pokémon,Omstarオムスター,Omastar,139,495,70,60,125,115,70,55,rock,water
"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,Shellfish Pokémon,Kabutoカブト,Kabuto,140,355,30,80,90,55,45,55,rock,water
"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,Shellfish Pokémon,Kabutopsカブトプス,Kabutops,141,495,60,115,105,65,70,80,rock,water
"['Rock Head', 'Pressure', 'Unnerve']",0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,Fossil Pokémon,Pteraプテラ,Aerodactyl,142,615,80,135,85,70,95,150,rock,flying
"['Immunity', 'Thick Fat', 'Gluttony']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Sleeping Pokémon,Kabigonカビゴン,Snorlax,143,540,160,110,65,65,110,30,normal,
"['Pressure', 'Snow Cloak']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,Freeze Pokémon,Freezerフリーザー,Articuno,144,580,90,85,100,95,125,85,ice,flying
"['Pressure', 'Static']",0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,Electric Pokémon,Thunderサンダー,Zapdos,145,580,90,90,85,125,90,100,electric,flying
"['Pressure', 'Flame Body']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,Flame Pokémon,Fireファイヤー,Moltres,146,580,90,100,90,125,85,90,fire,flying
"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,Dragon Pokémon,Miniryuミニリュウ,Dratini,147,300,41,64,45,50,50,50,dragon,
"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,Dragon Pokémon,Hakuryuハクリュー,Dragonair,148,420,61,84,65,70,70,70,dragon,
"['Inner Focus', 'Multiscale']",0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,Dragon Pokémon,Kairyuカイリュー,Dragonite,149,600,91,134,95,100,100,80,dragon,flying
"['Pressure', 'Unnerve']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Genetic Pokémon,Mewtwoミュウツー,Mewtwo,150,780,106,150,70,194,120,140,psychic,
['Synchronize'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,New Species Pokémon,Mewミュウ,Mew,151,600,100,100,100,100,100,100,psychic,
"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Leaf Pokémon,Chicoritaチコリータ,Chikorita,152,318,45,49,65,49,65,45,grass,
"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Leaf Pokémon,Bayleafベイリーフ,Bayleef,153,405,60,62,80,63,80,60,grass,
"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Herb Pokémon,Meganiumメガニウム,Meganium,154,525,80,82,100,83,100,80,grass,
"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Fire Mouse Pokémon,Hinoarashiヒノアラシ,Cyndaquil,155,309,39,52,43,60,50,65,fire,
"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Volcano Pokémon,Magmarashiマグマラシ,Quilava,156,405,58,64,58,80,65,80,fire,
"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Volcano Pokémon,Bakphoonバクフーン,Typhlosion,157,534,78,84,78,109,85,100,fire,
"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Big Jaw Pokémon,Waninokoワニノコ,Totodile,158,314,50,65,64,44,48,43,water,
"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Big Jaw Pokémon,Alligatesアリゲイツ,Croconaw,159,405,65,80,80,59,63,58,water,
"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Big Jaw Pokémon,Ordileオーダイル,Feraligatr,160,530,85,105,100,79,83,78,water,
"['Run Away', 'Keen Eye', 'Frisk']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Scout Pokémon,Otachiオタチ,Sentret,161,215,35,46,34,35,45,20,normal,
"['Run Away', 'Keen Eye', 'Frisk']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Long Body Pokémon,Ootachiオオタチ,Furret,162,415,85,76,64,45,55,90,normal,
"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,Owl Pokémon,Hohoホーホー,Hoothoot,163,262,60,30,30,36,56,50,normal,flying
"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,Owl Pokémon,Yorunozukuヨルノズク,Noctowl,164,452,100,50,50,86,96,70,normal,flying
"['Swarm', 'Early Bird', 'Rattled']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,Five Star Pokémon,Redibaレディバ,Ledyba,165,265,40,20,30,40,80,55,bug,flying
"['Swarm', 'Early Bird', 'Iron Fist']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,Five Star Pokémon,Redianレディアン,Ledian,166,390,55,35,50,55,110,85,bug,flying
"['Swarm', 'Insomnia', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,String Spit Pokémon,Itomaruイトマル,Spinarak,167,250,40,60,40,40,40,30,bug,poison
"['Swarm', 'Insomnia', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,Long Leg Pokémon,Ariadosアリアドス,Ariados,168,400,70,90,70,60,70,40,bug,poison
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,Bat Pokémon,Crobatクロバット,Crobat,169,535,85,90,80,70,80,130,poison,flying
"['Volt Absorb', 'Illuminate', 'Water Absorb']",1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,Angler Pokémon,Chonchieチョンチー,Chinchou,170,330,75,38,38,56,56,67,water,electric
"['Volt Absorb', 'Illuminate', 'Water Absorb']",1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,Light Pokémon,Lanternランターン,Lanturn,171,460,125,58,58,76,76,67,water,electric
"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Tiny Mouse Pokémon,Pichuピチュー,Pichu,172,205,20,40,15,35,35,60,electric,
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,Star Shape Pokémon,Pyピィ,Cleffa,173,218,50,25,28,45,55,15,fairy,
"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,Balloon Pokémon,Pupurinププリン,Igglybuff,174,210,90,30,15,40,20,15,normal,fairy
"['Hustle', 'Serene Grace', 'Super Luck']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,Spike Ball Pokémon,Togepyトゲピー,Togepi,175,245,35,20,65,40,65,20,fairy,
"['Hustle', 'Serene Grace', 'Super Luck']",0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,Happiness Pokémon,Togechickトゲチック,Togetic,176,405,55,40,85,80,105,40,fairy,flying
"['Synchronize', 'Early Bird', 'Magic Bounce']",1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,Little Bird Pokémon,Natyネイティ,Natu,177,320,40,50,45,70,45,70,psychic,flying
"['Synchronize', 'Early Bird', 'Magic Bounce']",1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,Mystic Pokémon,Natioネイティオ,Xatu,178,470,65,75,70,95,70,95,psychic,flying
"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Wool Pokémon,Merriepメリープ,Mareep,179,280,55,40,40,65,45,35,electric,
"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Wool Pokémon,Mokokoモココ,Flaaffy,180,365,70,55,55,80,60,45,electric,
"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Light Pokémon,Denryuデンリュウ,Ampharos,181,610,90,95,105,165,110,45,electric,
"['Chlorophyll', 'Healer']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Flower Pokémon,Kireihanaキレイハナ,Bellossom,182,490,75,80,95,90,100,50,grass,
"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,Aquamouse Pokémon,Marilマリル,Marill,183,250,70,20,50,20,50,40,water,fairy
"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,Aquarabbit Pokémon,Marilliマリルリ,Azumarill,184,420,100,50,80,60,80,50,water,fairy
"['Sturdy', 'Rock Head', 'Rattled']",1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,Imitation Pokémon,Usokkieウソッキー,Sudowoodo,185,410,70,100,115,30,65,30,rock,
"['Water Absorb', 'Damp', 'Drizzle']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Frog Pokémon,Nyorotonoニョロトノ,Politoed,186,500,90,75,75,90,100,70,water,
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,Cottonweed Pokémon,Haneccoハネッコ,Hoppip,187,250,35,35,40,35,55,50,grass,flying
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,Cottonweed Pokémon,Popoccoポポッコ,Skiploom,188,340,55,45,50,45,65,80,grass,flying
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,Cottonweed Pokémon,Wataccoワタッコ,Jumpluff,189,460,75,55,70,55,95,110,grass,flying
"['Run Away', 'Pickup', 'Skill Link']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Long Tail Pokémon,Eipamエイパム,Aipom,190,360,55,70,55,40,55,85,normal,
"['Chlorophyll', 'Solar Power', 'Early Bird']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Seed Pokémon,Himanutsヒマナッツ,Sunkern,191,180,30,30,30,30,30,30,grass,
"['Chlorophyll', 'Solar Power', 'Early Bird']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,Sun Pokémon,Kimawariキマワリ,Sunflora,192,425,75,75,55,105,85,30,grass,
"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,Clear Wing Pokémon,Yanyanmaヤンヤンマ,Yanma,193,390,65,65,45,75,45,95,bug,flying
"['Damp', 'Water Absorb', 'Unaware']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,Water Fish Pokémon,Upahウパー,Wooper,194,210,55,45,45,25,25,15,water,ground
"['Damp', 'Water Absorb', 'Unaware']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,Water Fish Pokémon,Nuohヌオー,Quagsire,195,430,95,85,85,65,65,35,water,ground
"['Synchronize', 'Magic Bounce']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Sun Pokémon,Eifieエーフィ,Espeon,196,525,65,65,60,130,95,110,psychic,
"['Synchronize', 'Inner Focus']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,Moonlight Pokémon,Blackyブラッキー,Umbreon,197,525,95,65,110,60,130,65,dark,
"['Insomnia', 'Super Luck', 'Prankster']",1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,Darkness Pokémon,Yamikarasuヤミカラス,Murkrow,198,405,60,85,42,85,42,91,dark,flying
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,Royal Pokémon,Yadokingヤドキング,Slowking,199,490,95,75,80,100,110,30,water,psychic
['Levitate'],0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,Screech Pokémon,Mumaムウマ,Misdreavus,200,435,60,60,60,85,85,85,ghost,
['Levitate'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Symbol Pokémon,Unknownアンノーン,Unown,201,336,48,72,48,72,48,48,psychic,
"['Shadow Tag', 'Telepathy']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,Patient Pokémon,Sonansソーナンス,Wobbuffet,202,405,190,33,58,33,58,33,psychic,
"['Inner Focus', 'Early Bird', 'Sap Sipper']",2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,Long Neck Pokémon,Kirinrikiキリンリキ,Girafarig,203,455,70,80,65,90,65,85,normal,psychic
"['Sturdy', 'Overcoat']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,Bagworm Pokémon,Kunugidamaクヌギダマ,Pineco,204,290,50,65,90,35,35,15,bug,
"['Sturdy', 'Overcoat']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,Bagworm Pokémon,Foretosフォレトス,Forretress,205,465,75,90,140,60,60,40,bug,steel
"['Serene Grace', 'Run Away', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Land Snake Pokémon,Nokocchiノコッチ,Dunsparce,206,415,100,70,70,65,65,45,normal,
"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,Flyscorpion Pokémon,Gligerグライガー,Gligar,207,430,65,75,105,35,65,85,ground,flying
"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,Iron Snake Pokémon,Haganeilハガネール,Steelix,208,610,75,125,230,55,95,30,steel,ground
"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,Fairy Pokémon,Buluブルー,Snubbull,209,300,60,80,50,40,40,30,fairy,
"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,Fairy Pokémon,Granbuluグランブル,Granbull,210,450,90,120,75,60,60,45,fairy,
"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,Balloon Pokémon,Harysenハリーセン,Qwilfish,211,440,65,95,85,55,55,85,water,poison
"['Swarm', 'Technician', 'Light Metal']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,Pincer Pokémon,Hassamハッサム,Scizor,212,600,70,150,140,65,100,75,bug,steel
"['Sturdy', 'Gluttony', 'Contrary']",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,Mold Pokémon,Tsubotsuboツボツボ,Shuckle,213,505,20,10,230,10,230,5,bug,rock
"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,Singlehorn Pokémon,Heracrosヘラクロス,Heracross,214,600,80,185,115,40,105,75,bug,fighting
"['Inner Focus', 'Keen Eye', 'Pickpocket']",2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,Sharp Claw Pokémon,Nyulaニューラ,Sneasel,215,430,55,95,55,35,75,115,dark,ice
"['Pickup', 'Quick Feet', 'Honey Gather']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Little Bear Pokémon,Himegumaヒメグマ,Teddiursa,216,330,60,80,50,50,50,40,normal,
"['Guts', 'Quick Feet', 'Unnerve']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Hibernator Pokémon,Ringumaリングマ,Ursaring,217,500,90,130,75,75,75,55,normal,
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,Lava Pokémon,Magmagマグマッグ,Slugma,218,250,40,40,40,70,40,20,fire,
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,Lava Pokémon,Magcargotマグカルゴ,Magcargo,219,430,60,50,120,90,80,30,fire,rock
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,Pig Pokémon,Urimooウリムー,Swinub,220,250,50,50,40,30,30,50,ice,ground
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,Swine Pokémon,Inomooイノムー,Piloswine,221,450,100,100,80,60,60,50,ice,ground
"['Hustle', 'Natural Cure', 'Regenerator']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,Coral Pokémon,Sunnygoサニーゴ,Corsola,222,410,65,55,95,65,95,35,water,rock
"['Hustle', 'Sniper', 'Moody']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Jet Pokémon,Teppouoテッポウオ,Remoraid,223,300,35,65,35,65,35,65,water,
"['Suction Cups', 'Sniper', 'Moody']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,Jet Pokémon,Okutankオクタン,Octillery,224,480,75,105,75,105,75,45,water,
"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,Delivery Pokémon,Delibirdデリバード,Delibird,225,330,45,55,45,65,45,75,ice,flying
"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,Kite Pokémon,Mantainマンタイン,Mantine,226,485,85,40,70,80,140,70,water,flying
"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,Armor Bird Pokémon,Airmdエアームド,Skarmory,227,465,65,80,140,40,70,70,steel,flying
"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,Dark Pokémon,Delvilデルビル,Houndour,228,330,45,60,30,80,50,65,dark,fire
"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,Dark Pokémon,Hellgarヘルガー,Houndoom,229,600,75,90,90,140,90,115,dark,fire
"['Swift Swim', 'Sniper', 'Damp']",1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,Dragon Pokémon,Kingdraキングドラ,Kingdra,230,540,75,95,95,95,95,85,water,dragon
"['Pickup', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,Long Nose Pokémon,Gomazouゴマゾウ,Phanpy,231,330,90,60,60,40,40,40,ground,
"['Sturdy', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,Armor Pokémon,Donfanドンファン,Donphan,232,500,90,120,120,60,60,50,ground,
"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Virtual Pokémon,Porygon2ポリゴン２,Porygon2,233,515,85,80,90,105,95,60,normal,
"['Intimidate', 'Frisk', 'Sap Sipper']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Big Horn Pokémon,Odoshishiオドシシ,Stantler,234,465,73,95,62,85,65,85,normal,
"['Own Tempo', 'Technician', 'Moody']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,Painter Pokémon,Dobleドーブル,Smeargle,235,250,55,20,35,20,45,75,normal,
"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,Scuffle Pokémon,Balkieバルキー,Tyrogue,236,210,35,35,35,35,35,35,fighting,
"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,Handstand Pokémon,Kapoererカポエラー,Hitmontop,237,455,50,95,95,35,110,70,fighting,
"['Oblivious', 'Forewarn', 'Hydration']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,Kiss Pokémon,Muchulムチュール,Smoochum,238,305,45,30,15,85,65,65,ice,psychic
"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,Electric Pokémon,Elekidエレキッド,Elekid,239,360,45,63,37,65,55,95,electric,
